value,tweet
negatif,'admin' 'bantu' 'informasikan' 'ya' 'kait' 'limit' 'shopepay later' 'tentu' 'shope' 'kait' 'limit' 'shopepay later' 'pandemi' 'covid' 'tenang' 'kak' 'cepat' 'dinfoin' 'kait' 'limit' 'shope' 'pay' 'shopepay later' 'ya' 'mari' 'tingkatkan' 'belanja'
negatif,'admin' 'saya' 'tidak pernah' 'telat' 'bayar' 'transaksi' 'saya' 'sudah' 'tingkat' 'sampai' 'gold' 'pandemi' 'sampai' 'sekarang' 'akun' 'saya' 'bom' 'pakai' 'shopepay later' 'nya' 'teman' 'yang' 'yang' 'average' 'transaksi' 'bawah' 'saya' 'sudah' 'aktif'
negatif,'admin' 'tambahkan' 'gratis' 'ongkir' 'cod' 'minlagi' 'pandemi' 'gin' 'susah' 'isi' 'shope' 'pay' 'bayar' 'melalui' 'bank' 'supermarket lebih' 'nyaman' 'cod'
positif,'ajar' 'masak' 'pengalamanbaru' 'pandemi' 'inibayar' 'belanja' 'memakai' 'link' 'saja' 'bener bener' 'mbuat' 'mudah' 'lengkapnyauntuksemua'
positif,'akhir' 'suka' 'sekali' 'baca' 'buku' 'novel' 'benar' 'mbuat' 'suasana hati' 'masa' 'pandemi' 'bayar' 'tunai' 'takut' 'jalan' 'ninjaku' 'untuk' 'bayar' 'beli' 'interaksi' 'langsung' 'lengkapnyauntuksemua' 'p'
positif,'aku' 'malas' 'olahraga' 'sibuk' 'kerja' 'p' 'depok sudirman' 'jika' 'olahraga' 'sudah' 'lelah' 'duluan' 'pandemi' 'gin' 'wfh' 'asa' 'bosan' 'yoga' 'rumah' 'beli' 'alat' 'seperti' 'matras' 'dan yang lainya' 'olshop' 'bayar' 'memakai' 'praktis' 'lengka'
positif,'alam' 'dirumahaja' 'olahraga' 'bersih' 'rumah' 'karena' 'luang' 'waktu sat' 'pandemi' 'takut' 'rumah' 'semenjak' 'pakai' 'aplikasi' 'mudah' 'lengkapnyauntuks'
positif,'alam' 'linkaja' 'pandemi' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'alhamdulilahsenangmakin' 'praktis' 'pakai' 'aplikasi' 'linkaja' 'transaksi' 'pandemi' 'kurang' 'transaksi' 'tunai' 'pakelinkaja'
positif,'aman' 'covid' 'keluarga' 'berita' 'berita' 'nasional' 'internasional' 'internet' 'ajar' 'uang' 'rumah' 'karena' 'link' 'saja' 'simpan' 'uang' 'daring' 'aman pen'
positif,'aplikasi' 'bantu' 'masa' 'pandemi' 'dompet' 'digital' 'yang' 'mudah' 'tidak' 'ribet' 'lengkapnyauntuksemua'
positif,'aplikasi' 'bantu' 'pandemi' 'aplikasi' 'linkaja' 'bayar' 'rumah mudahpratktis' 'cepat' 'terimakasih' 'pengalamanbaru' 'lengkap'
positif,'aplikasi' 'cocok' 'ajar' 'promosi' 'cocok' 'investasi' 'kondisi' 'pandemi' 'gin' 'lengkapnyauntuksemua'
positif,'aplikasi' 'inspirasi' 'jaga' 'protokol' 'sehat' 'pandemi' 'covid' 'moga' 'wabah' 'hilang' 'normal' 'lengkapnyauntuksemua'
positif,'aplikasi' 'lancar' 'hari' 'transaksi' 'pandemi' 'lengkapnyauntuksemua'
positif,'aplikasi' 'link' 'saja' 'manfat' 'giat' 'hari' 'transaksi' 'non tunai' 'sat' 'pandemi' 'kurang' 'kontak' 'fisik' 'lengkapnyabikinmerdeka'
positif,'aplikasi' 'manfat' 'promosi' 'guna' 'investasi' 'mudah' 'transaksi' 'pandemi' 'bantu' 'jaga' 'protokol' 'sehat' 'transaksi' 'sentuh' 'langsung' 'lengkapnyauntuksemua'
positif,'aplikasi' 'manfat' 'sat' 'pandemi' 'sibuk' 'bayar' 'suka' 'linkaja' 'lengkapnyabikinmerdeka'
positif,'aplikasi' 'wajib' 'instal' 'mudah' 'pandemi' 'serba' 'daring' 'pesan' 'tiket' 'krl' 'bayar' 'listrik' 'bayar' 'olshop' 'dan yang lainya' 'cocok' 'nabung' 'tidak' 'sibuk' 'antre' 'bank' 'lengkapnyauntuksemua'
positif,'asli' 'sih' 'aplikasi' 'mudah' 'pandemi' 'gin' 'mana' 'tidak' 'sibuk' 'bawa' 'telepon gengam' 'saja' 'praktis' 'manfat' 'suka' 'linkaja' '
positif,'astaga' 'sekali' 'tabung' 'kenceng' 'sekali' 'turun' 'tahun' 'tau' 'ketika' 'cek' 'rincian' 'isi' 'top' 'up' 'ovo' 'terus' 'pandemi' 'menjadi' 'grabcar' 'mesen' 'makan' 'bangke'
positif,'bagi' 'kirim' 'makna' 'uang' 'e money' 'gopay' 'gopay' 'sen' 'makan' 'gojek' 'belanja' 'butuh' 'daring' 'pakek' 'tokped' 'sedekah' 'mudah' 'meminimalisir' 'resiko' 'tular' 'covid' 'k'
positif,'bagus' 'kerja' 'masa' 'pandemi' 'jaga' 'protokol' 'sehat' 'pakai' 'linkaja' 'mudah' 'diantar ke rumah' 'makan' 'lengkapnyauntuksemua'
positif,'bagus' 'sekali' 'kak' 'suka' 'sekali' 'linkaja' 'ketika' 'sekali' 'pandemi' 'covid' 'pengalamanbaru' 'lengkapnyauntuksemua' 'dirumahaja'
positif,'bandung' 'pom' 'bensin' 'pertamina' 'memakai' 'linkaja' 'metode' 'bayar' 'memakai' 'linkaja' 'biaya' 'sana' 'hindar' 'kontak' 'dengan' 'tugas' 'pandemi'
positif,'bantu' 'aplikasi' 'link' 'saja' 'beli' 'pulsa' 'transfer' 'uang' 'rumah' 'dampak' 'covid' 'rumah' 'tampa' 'lengkapuntuksemuanya'
negatif,'barusan' 'dm' 'si' 'admin' 'ig' 'kronologi' 'gara' 'gabisa' 'memakai' 'shopepay' 'karena' 'belanja' 'tidak' 'sampai' 'k' 'sampai' 'batal' 'beli' 'padahal' 'pandemi' 'gin' 'dianjurin' 'non tunai' 'loh' '
positif,'bayar' 'memakai' 'gopay' 'transfer' 'barang' 'taro' 'dipager' 'sempet' 'bingung' 'makan' 'minum' 'bagaimana' 'krna' 'dirmh' 'abis' 'bersyukur' 'tetanga' 'yang' 'tidak' 'peduli' 'julid' 'org' 'gantungin' 'makan' 'dipager' 'sekarang' 'nyokap' 'denger' 'kita' 'covid' 'saja' 'langsung' 'takut' 'tidak'
positif,'belanja' 'mana' 'saja' 'linkaja' 'benar' 'mudah' 'pandemi' 'non tunai' 'lengkapnyauntuksemua'
positif,'beli' 'kuota' 'habis' 'ya' 'tidak' 'covid' 'beli' 'memakai' 'pulsa' 'shopepay'
